,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,DT
118,-44541.7,-51210.07,-126981.1,-133836.3,-118624.9,-45608.14,-54916.14,-39028.89,0.5081249999999996
119,-42631.91,-49573.95,-124291.1,-131298.6,-115562.1,-44101.47,-53546.63,-37122.16,0.5081279999999996
120,-40897.52,-48063.46,-121299.3,-128498.5,-112676.0,-42425.15,-51688.15,-35412.82,0.5104049999999996
121,-39167.93,-46338.11,-118299.2,-125597.1,-109822.0,-40926.9,-49929.55,-33761.71,0.5140999999999996
122,-37348.34,-44515.84,-115559.3,-122892.6,-106858.3,-39636.0,-48623.57,-32014.08,0.5141049999999996
123,-35561.63,-42896.63,-112876.3,-120299.7,-103882.8,-38247.96,-47313.08,-30256.94,0.5141069999999995
124,-33897.0,-41417.93,-110009.1,-117570.8,-101022.3,-36695.22,-45645.85,-28624.18,0.5224469999999996
125,-32275.01,-39829.62,-107091.7,-114740.5,-98223.16,-35239.75,-43964.45,-27072.4,0.5224529999999995
126,-30622.85,-38159.07,-104337.3,-112011.3,-95387.08,-33980.73,-42606.96,-25496.5,0.5244009999999995
127,-28988.41,-36611.03,-101675.3,-109393.1,-92540.03,-32703.14,-41335.68,-23909.63,0.5269909999999995
128,-27426.88,-35184.27,-98935.29,-106739.1,-89756.56,-31288.92,-39847.34,-22388.15,0.5294119999999995
129,-25915.63,-33719.86,-96145.71,-104016.9,-87034.7,-29908.35,-38295.59,-20940.87,0.5319859999999995
130,-24419.94,-32204.78,-93436.25,-101325.5,-84329.63,-28689.85,-36939.66,-19521.22,0.5344109999999995
131,-22944.11,-30756.14,-90812.48,-98713.23,-81632.03,-27506.42,-35692.92,-18106.96,0.5369909999999996
132,-21501.07,-29392.37,-88191.28,-96131.09,-78962.06,-26228.79,-34346.41,-16715.08,0.5394019999999995
133,-20097.19,-28033.07,-85551.19,-93532.56,-76337.41,-24945.28,-32936.52,-15372.86,0.5429959999999995
134,-18739.88,-26660.38,-82935.34,-90927.59,-73764.65,-23778.83,-31618.68,-14089.56,0.5569909999999996
135,-17416.97,-25321.32,-80374.73,-88357.48,-71228.19,-22673.85,-30390.42,-12837.81,0.5605189999999995
136,-16100.44,-24025.1,-77866.64,-85849.59,-68700.98,-21517.81,-29150.33,-11583.53,0.5605249999999995
137,-14801.13,-22750.67,-75383.71,-83379.54,-66194.02,-20338.19,-27883.32,-10346.39,0.5605279999999996
138,-13565.38,-21503.35,-72897.35,-80894.84,-63753.89,-19234.33,-26642.53,-9180.159,0.5629849999999995
139,-12389.67,-20288.3,-70427.41,-78402.41,-61381.02,-18204.27,-25450.9,-8077.441,0.5679779999999996
140,-11213.91,-19087.35,-68031.48,-75976.65,-59016.65,-17167.34,-24300.69,-6969.806,0.5704089999999996
141,-10032.17,-17908.86,-65706.52,-73635.35,-56648.98,-16108.19,-23173.63,-5850.031,0.5789889999999996
142,-8912.897,-16784.97,-63375.03,-71293.2,-54346.29,-15087.14,-22038.2,-4795.091,0.5829809999999996
143,-7870.631,-15696.68,-61021.43,-68909.1,-52134.68,-14129.28,-20898.22,-3826.678,0.5940969999999997
144,-6829.49,-14594.28,-58737.87,-66574.47,-49941.67,-13192.79,-19815.7,-2862.528,0.5941029999999996
145,-5761.958,-13498.82,-56562.59,-64355.73,-47727.35,-12245.91,-18806.59,-1864.387,0.5941059999999997
146,-4746.183,-12475.93,-54397.77,-62164.88,-45565.41,-11312.38,-17787.68,-914.548,0.5969849999999997
147,-3822.667,-11507.82,-52183.96,-59914.58,-43510.46,-10426.4,-16720.35,-66.551,0.6019769999999997
148,-2914.312,-10515.79,-50020.19,-57686.33,-41492.52,-9580.525,-15700.86,759.224,0.6069769999999997
149,-1968.128,-9510.721,-47987.5,-55587.45,-39444.2,-8740.976,-14791.48,1632.158,0.6094039999999996
150,-1057.224,-8581.979,-45992.86,-53549.77,-37429.43,-7900.293,-13890.29,2480.39,0.6119829999999996
151,-245.828,-7728.39,-43936.96,-51451.55,-35527.45,-7087.752,-12910.71,3222.533,0.6143979999999996
152,533.99,-6851.955,-41903.31,-49345.89,-33683.6,-6322.74,-11952.95,3921.581,0.6179769999999996
153,1358.737,-5940.584,-40007.91,-47366.64,-31809.68,-5582.704,-11126.59,4670.114,0.6274429999999995
154,2170.921,-5095.613,-38181.16,-45479.41,-29948.89,-4838.268,-10338.76,5418.475,0.6274489999999995
155,2886.641,-4341.732,-36294.11,-43543.36,-28195.46,-4103.535,-9458.646,6067.555,0.6293979999999995
156,3552.672,-3576.757,-34399.72,-41573.46,-26518.42,-3415.177,-8565.91,6653.469,0.6384429999999994
157,4258.316,-2763.289,-32635.81,-39713.57,-24819.38,-2768.429,-7808.638,7279.955,0.6384489999999994
158,4969.763,-2000.49,-30967.95,-37968.93,-23115.83,-2121.209,-7123.886,7927.001,0.6404019999999994
159,5596.446,-1336.472,-29253.63,-36197.62,-21507.18,-1466.242,-6349.634,8491.781,0.6479739999999994
160,6160.833,-676.527,-27507.83,-34375.2,-19988.93,-845.249,-5527.832,8981.718,0.6574429999999994
161,6754.135,38.886,-25873.42,-32638.08,-18462.51,-274.688,-4828.448,9499.098,0.6574489999999994
162,7365.502,722.265,-24354.39,-31028.77,-16919.13,285.046,-4232.5,10049.75,0.6650199999999994
163,7904.97,1303.247,-22810.66,-29419.46,-15453.19,857.773,-3567.964,10534.33,0.6650249999999994
164,8373.056,1860.285,-21219.74,-27751.68,-14084.93,1406.083,-2831.498,10933.81,0.6669759999999995
165,8859.501,2474.38,-19715.33,-26141.93,-12725.36,1899.395,-2192.384,11342.75,0.6693929999999995
166,9377.687,3081.015,-18336.27,-24661.99,-11342.87,2373.095,-1673.456,11794.29,0.6729769999999994
167,9844.018,3593.954,-16957.46,-23208.41,-10018.11,2865.727,-1109.414,12203.7,0.6874379999999994
168,10234.74,4064.59,-15524.5,-21698.12,-8790.735,3348.015,-456.539,12528.67,0.6874439999999994
