,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,DT
86,-90291.32,-93948.16,-199193.8,-195669.1,-200236.6,-76532.35,-85357.97,-90314.49,0.3580099999999999
87,-88755.21,-92317.48,-196746.4,-193806.1,-199043.6,-74970.73,-82566.13,-88599.7,0.3604249999999999
88,-86544.43,-90134.19,-194725.2,-192070.4,-197152.8,-72946.11,-81444.71,-86382.77,0.3674699999999999
89,-83254.05,-87944.88,-194038.1,-191878.4,-194202.0,-69892.72,-81512.34,-83437.28,0.3674749999999999
90,-80485.48,-86253.75,-192908.4,-191519.8,-191591.9,-67183.61,-80104.98,-80886.61,0.3700479999999999
91,-78818.3,-84611.9,-190276.8,-189469.5,-189847.4,-65514.88,-77358.95,-79092.63,0.3700539999999999
92,-76834.0,-82503.79,-187680.4,-187141.3,-187746.1,-63698.73,-75805.33,-77054.69,0.38303499999999985
93,-73821.05,-80293.37,-186309.4,-186142.0,-184660.3,-60950.01,-75627.7,-74308.5,0.3860439999999999
94,-71010.23,-78501.95,-184896.5,-185375.1,-181650.1,-58272.91,-74478.87,-71727.25,0.38604999999999984
95,-69214.16,-76852.23,-182191.1,-183227.5,-179435.3,-56511.6,-71903.56,-69855.37,0.38801099999999983
96,-67400.55,-74835.59,-179217.2,-180518.2,-177141.0,-54846.7,-70037.67,-67957.3,0.3940219999999999
97,-64697.63,-72656.27,-177265.0,-178844.0,-174008.2,-52409.04,-69566.7,-65440.1,0.4004249999999999
98,-61947.65,-70808.88,-175564.3,-177664.5,-170751.5,-49844.94,-68596.05,-62908.44,0.40504399999999985
99,-60054.34,-69165.58,-172846.4,-175460.7,-168159.7,-48025.78,-66267.91,-60987.17,0.4050479999999999
100,-58360.26,-67262.6,-169665.9,-172544.8,-165690.5,-46468.91,-64231.49,-59203.73,0.40699599999999986
101,-55962.01,-65165.49,-167256.7,-170346.8,-162569.1,-44327.11,-63476.76,-56926.89,0.41846499999999986
102,-53347.68,-63303.71,-165275.9,-168770.7,-159196.3,-41937.12,-62610.69,-54507.53,0.4184709999999998
103,-51395.48,-61665.14,-162570.0,-166518.8,-156326.7,-40102.87,-60561.06,-52565.18,0.42041599999999985
104,-49772.09,-59860.11,-159313.0,-163523.1,-153700.6,-38616.92,-58471.74,-50861.46,0.4240189999999998
105,-47648.86,-57859.52,-156573.3,-160950.2,-150617.9,-36734.84,-57457.76,-48807.74,0.4360459999999998
106,-45226.27,-56014.19,-154334.9,-159015.1,-147230.1,-34553.7,-56615.93,-46545.33,0.4360519999999998
107,-43270.72,-54390.94,-151646.4,-156710.0,-144184.5,-32747.43,-54830.66,-44622.28,0.4380019999999998
108,-41698.37,-52686.44,-148409.9,-153724.1,-141433.4,-31311.17,-52787.3,-42984.03,0.44041399999999975
109,-39819.64,-50811.31,-145465.6,-150918.8,-138405.2,-29652.18,-51574.7,-41135.71,0.4470019999999998
110,-37624.99,-49026.4,-143009.6,-148682.7,-135075.3,-27706.48,-50709.5,-39062.88,0.45346399999999976
111,-35720.41,-47438.15,-140330.4,-146312.0,-131944.7,-25984.67,-49162.41,-37202.73,0.45346999999999976
112,-34188.08,-45829.23,-137172.3,-143383.4,-129102.7,-24601.81,-47244.38,-35625.65,0.45541399999999976
113,-32509.83,-44086.22,-134132.0,-140464.0,-126131.9,-23128.72,-45908.03,-33957.26,0.46401999999999977
114,-30551.96,-42387.26,-131512.1,-137998.7,-122907.6,-21414.9,-44991.08,-32086.79,0.47003299999999976
115,-28746.3,-40846.88,-128838.0,-135559.1,-119775.8,-19808.84,-43634.79,-30325.33,0.47003699999999976
116,-27260.4,-39321.61,-125793.3,-132712.8,-116889.8,-18478.12,-41880.86,-28809.67,0.47800299999999973
117,-25745.69,-37700.82,-122749.0,-129775.2,-113980.4,-17147.83,-40485.25,-27289.82,0.48042499999999977
118,-24017.69,-36099.18,-120025.8,-127158.5,-110888.1,-15646.79,-39501.3,-25615.62,0.48401699999999975
119,-22348.48,-34623.3,-117354.9,-124655.2,-107820.3,-14184.74,-38282.56,-23980.64,0.49300499999999975
120,-20925.61,-33187.32,-114436.2,-121897.6,-104938.3,-12926.1,-36708.61,-22538.11,0.49745899999999976
121,-19545.41,-31694.91,-111458.3,-119012.6,-102096.7,-11717.9,-35319.39,-21145.71,0.4974629999999998
122,-18028.41,-30210.11,-108696.5,-116322.5,-99148.75,-10411.39,-34281.92,-19656.7,0.5080009999999998
123,-16516.88,-28817.48,-106035.9,-113771.6,-96192.7,-9111.533,-33161.3,-18168.43,0.5129969999999998
124,-15171.08,-27470.83,-103241.7,-111096.7,-93359.33,-7945.12,-31767.98,-16814.64,0.5184599999999998
125,-13898.19,-26099.75,-100376.1,-108307.9,-90594.13,-6845.419,-30441.84,-15536.35,0.5184659999999998
126,-12562.33,-24737.4,-97635.63,-105614.8,-87793.49,-5709.952,-29377.41,-14217.35,0.5204109999999998
127,-11217.87,-23440.59,-95002.71,-103044.5,-84983.23,-4575.677,-28320.29,-12885.35,0.5279929999999998
128,-9973.48,-22185.25,-92329.05,-100447.8,-82242.39,-3517.27,-27086.87,-11635.59,0.5304169999999998
129,-8804.007,-20926.36,-89606.67,-97782.2,-79570.04,-2516.52,-25859.38,-10463.95,0.5334579999999999
130,-7630.366,-19681.85,-86941.83,-95146.32,-76917.31,-1525.302,-24801.39,-9298.302,0.5334639999999998
131,-6456.875,-18485.3,-84361.13,-92591.56,-74273.0,-549.531,-23792.36,-8126.683,0.5430009999999998
132,-5331.401,-17321.49,-81802.69,-90070.02,-71660.02,390.016,-22697.24,-6996.19,0.5454139999999998
133,-4260.515,-16167.61,-79235.77,-87537.04,-69097.13,1296.274,-21586.58,-5925.566,0.5479879999999998
134,-3225.386,-15039.73,-76685.75,-85001.54,-66588.05,2166.097,-20560.94,-4889.212,0.5574539999999998
135,-2216.2,-13952.85,-74182.52,-82497.8,-64115.9,2994.141,-19586.74,-3865.024,0.5574599999999998
136,-1225.741,-12890.18,-71735.84,-80052.93,-61656.41,3803.754,-18601.74,-2858.828,0.5590089999999998
137,-260.315,-11844.13,-69328.11,-77654.19,-59222.71,4606.807,-17618.0,-1892.562,0.5619869999999998
138,652.32,-10833.6,-66924.64,-75251.52,-56858.72,5365.789,-16661.32,-978.051,0.5644059999999997
139,1513.03,-9859.634,-64528.66,-72836.03,-54561.45,6062.019,-15730.1,-96.735,0.5669849999999996
140,2369.808,-8897.533,-62194.96,-70475.16,-52272.74,6747.157,-14830.66,780.768,0.5734509999999997
141,3234.834,-7947.555,-59939.55,-68203.52,-49983.21,7453.548,-13960.7,1645.712,0.5734559999999996
142,4047.266,-7039.117,-57695.84,-65946.53,-47761.26,8121.699,-13084.58,2456.359,0.5754139999999996
143,4780.64,-6171.803,-55429.13,-63646.58,-45631.59,8704.662,-12200.8,3210.245,0.5890089999999997
144,5503.541,-5311.786,-53214.24,-61381.61,-43522.11,9264.396,-11370.47,3957.38,0.5924499999999997
145,6257.921,-4459.264,-51107.71,-59234.6,-41394.41,9861.216,-10606.63,4712.984,0.5924559999999996
146,6974.049,-3650.658,-49034.66,-57133.52,-39321.36,10436.33,-9827.889,5425.691,0.5940009999999997
147,7597.051,-2885.408,-46919.28,-54975.09,-37355.52,10919.95,-9004.552,6070.473,0.5969889999999997
148,8195.77,-2124.259,-44832.18,-52821.64,-35427.08,11367.49,-8231.748,6699.0,0.6110329999999997
149,8839.483,-1365.062,-42866.61,-50794.29,-33470.04,11860.79,-7557.243,7347.841,0.6110389999999997
150,9464.943,-648.241,-40961.36,-48845.92,-31547.62,12353.19,-6878.212,7968.728,0.6180929999999997
151,9990.779,21.371,-39009.02,-46843.01,-29737.35,12754.74,-6126.856,8516.316,0.6180959999999996
152,10473.62,686.882,-37057.91,-44815.1,-27984.69,13103.43,-5406.335,9035.938,0.6180979999999996
153,11006.8,1357.5,-35226.67,-42904.69,-26202.81,13496.92,-4803.591,9582.273,0.6204019999999996
154,11545.97,1989.11,-33482.72,-41102.31,-24435.19,13909.23,-4219.979,10116.86,0.6229939999999996
155,11990.77,2568.1,-31700.51,-39262.14,-22775.21,14239.02,-3551.172,10578.34,0.6290039999999996
156,12372.09,3138.599,-29896.16,-37374.14,-21191.9,14499.9,-2887.318,10997.54,0.6329849999999996
157,12794.91,3721.011,-28198.43,-35583.8,-19587.38,14795.69,-2347.007,11443.3,0.6474509999999996
158,13242.48,4274.5,-26608.3,-33920.97,-17978.79,15127.04,-1851.232,11896.29,0.6474569999999995
159,13608.06,4773.475,-24997.02,-32244.87,-16464.72,15391.74,-1268.41,12284.79,0.6500269999999996
160,13895.61,5254.833,-23346.43,-30507.13,-15041.01,15577.17,-661.933,12617.65,0.6500329999999995
161,14213.5,5747.486,-21781.4,-28840.32,-13609.89,15783.04,-172.997,12966.98,0.6634909999999995
162,14574.0,6219.14,-20335.84,-27309.3,-12161.92,16035.15,243.873,13334.15,0.6634979999999995
163,14875.38,6640.637,-18890.88,-25792.41,-10790.22,16241.58,736.371,13649.79,0.6665139999999995
164,15094.99,7043.14,-17397.02,-24209.76,-9515.062,16367.23,1278.672,13904.88,0.6665169999999995
165,15329.17,7459.958,-15963.44,-22669.19,-8248.555,16497.17,1721.922,14166.95,0.6665189999999994
166,15612.49,7865.549,-14652.18,-21262.26,-6959.406,16676.82,2074.679,14455.34,0.6704339999999994
167,15856.3,8224.931,-13365.05,-19896.39,-5727.291,16830.68,2484.972,14708.54,0.6819859999999994
168,16014.66,8556.719,-12029.13,-18471.18,-4591.826,16905.45,2962.378,14899.9,0.6860209999999994
169,16166.48,8895.155,-10729.09,-17062.25,-3481.397,16966.71,3363.531,15085.24,0.6860249999999994
170,16365.64,9226.604,-9545.343,-15775.14,-2348.473,17074.24,3661.111,15297.81,0.6950279999999994
171,16543.48,9517.92,-8406.443,-14550.61,-1253.996,17173.92,3990.891,15489.24,0.6950339999999994
172,16641.86,9780.256,-7225.443,-13279.71,-249.324,17203.87,4397.316,15622.49,0.7000199999999994
173,16721.1,10048.32,-6057.981,-12003.79,718.008,17209.52,4756.813,15740.15,0.7000239999999994
174,16846.87,10317.15,-4992.706,-10830.64,1703.981,17255.54,5012.221,15883.93,0.7019799999999995
175,16972.44,10554.2,-3988.205,-9735.08,2666.499,17307.28,5274.217,16018.9,0.7104199999999995
176,17031.37,10761.16,-2955.602,-8612.445,3547.893,17300.43,5611.017,16101.43,0.7174449999999994
177,17059.88,10969.14,-1922.153,-7472.756,4380.881,17260.12,5926.269,16159.46,0.7174509999999995
178,17123.33,11179.38,-974.056,-6414.756,5224.327,17249.41,6143.483,16238.1,0.7310289999999994
179,17194.69,11362.5,-95.917,-5440.898,6056.192,17252.94,6344.487,16317.77,0.7310349999999994
180,17209.36,11514.05,795.697,-4458.533,6820.183,17210.31,6611.481,16354.74,0.7355089999999994
181,17184.84,11661.21,1698.304,-3452.495,7531.059,17129.13,6878.086,16363.0,0.7355139999999994
182,17183.93,11811.68,2535.095,-2505.939,8243.777,17067.04,7059.939,16386.07,0.7355169999999995
183,17200.44,11942.22,3299.814,-1642.49,8952.793,17025.17,7210.304,16417.69,0.7379769999999996
184,17178.61,12045.04,4063.444,-787.916,9607.757,16952.76,7415.838,16417.57,0.7490049999999996
185,17118.63,12141.75,4840.656,88.784,10207.6,16843.49,7637.447,16385.89,0.7534459999999996
186,17072.89,12243.13,5568.644,923.975,10798.91,16743.44,7789.767,16360.14,0.7534519999999996
187,17048.46,12332.04,6227.062,1682.174,11389.49,16664.78,7898.941,16346.08,0.7553979999999996
188,16998.25,12397.68,6871.732,2417.944,11939.1,16567.35,8047.406,16310.83,0.7690259999999997
189,16910.06,12454.8,7529.645,3171.803,12437.24,16435.63,8222.246,16245.94,0.7724469999999997
190,16825.2,12514.22,8154.827,3900.567,12920.52,16304.64,8347.173,16180.96,0.7724569999999996
191,16758.9,12562.44,8717.894,4562.872,13403.84,16192.26,8424.413,16126.75,0.7969869999999997
192,16675.05,12587.39,9257.353,5193.083,13856.86,16068.83,8523.657,16057.54,0.8219859999999997
193,16555.96,12599.86,9805.175,5833.451,14263.27,15915.36,8651.857,15961.14,0.8250229999999997
194,16432.98,12612.55,10331.26,6458.936,14648.74,15757.12,8747.163,15860.33,0.8250269999999997
195,16327.52,12619.27,10803.57,7028.854,15031.51,15614.91,8796.3,15769.85,0.8269769999999997
196,16215.56,12609.98,11245.83,7561.035,15391.93,15469.71,8853.96,15672.1,0.8289929999999998
197,16075.93,12590.33,11690.53,8094.676,15712.34,15301.45,8938.625,15552.26,0.8319839999999997
198,15928.77,12571.65,12121.76,8619.964,16008.94,15125.08,9004.222,15425.12,0.8343979999999996
199,15796.66,12551.71,12510.15,9102.421,16300.63,14961.53,9030.712,15307.57,0.8369819999999997
200,15664.97,12520.13,12867.11,9547.359,16576.86,14800.88,9057.799,15189.36,0.8389959999999996
201,15511.95,12476.99,13220.49,9986.27,16820.67,14623.37,9108.2,15053.69,0.8419749999999997
202,15347.02,12430.51,13564.34,10419.08,17039.54,14434.65,9149.003,14906.33,0.8439749999999997
203,15189.22,12380.59,13874.38,10819.15,17249.65,14251.72,9155.701,14762.37,0.8504079999999997
